=== Wed Aug 19 11:26:10 UTC 2026 v6c: continued from v5_mid4, no-warmup, anneal decay ===
warm-started from v5_mid4.pt
params: 48.12M  device: cuda
dev split: 5000 rows held out, 905692 train
anneal pack: 404982 rows, 8536 batches (used for frac >= 0.8)
ep0 step2060/46784 loss=0.4205 lm=0.3518 name=0.0687 name_acc=0.988 tok/s=64,809
ep0 step2080/46784 loss=0.4487 lm=0.1748 name=0.2739 name_acc=0.914 tok/s=64,818
ep0 step2100/46784 loss=0.2991 lm=0.1798 name=0.1193 name_acc=0.940 tok/s=64,839
ep0 step2120/46784 loss=0.7937 lm=0.3526 name=0.4412 name_acc=0.853 tok/s=64,846
ep0 step2140/46784 loss=0.2989 lm=0.2121 name=0.0867 name_acc=0.978 tok/s=64,863
ep0 step2160/46784 loss=0.6585 lm=0.3745 name=0.2841 name_acc=0.887 tok/s=64,875
ep0 step2180/46784 loss=0.4117 lm=0.3198 name=0.0919 name_acc=0.946 tok/s=64,894
ep0 step2200/46784 loss=0.6607 lm=0.3254 name=0.3354 name_acc=0.891 tok/s=64,915
ep0 step2220/46784 loss=0.6698 lm=0.2911 name=0.3787 name_acc=0.896 tok/s=64,936
ep0 step2240/46784 loss=0.6591 lm=0.3649 name=0.2942 name_acc=0.915 tok/s=64,958
ep0 step2260/46784 loss=0.4147 lm=0.2130 name=0.2017 name_acc=0.952 tok/s=64,977
ep0 step2280/46784 loss=0.5864 lm=0.2967 name=0.2896 name_acc=0.923 tok/s=64,996
ep0 step2300/46784 loss=0.7908 lm=0.3245 name=0.4663 name_acc=0.845 tok/s=65,014
ep0 step2320/46784 loss=0.6744 lm=0.3145 name=0.3599 name_acc=0.868 tok/s=65,036
ep0 step2340/46784 loss=0.4806 lm=0.3192 name=0.1614 name_acc=0.957 tok/s=65,052
ep0 step2360/46784 loss=0.2825 lm=0.1931 name=0.0894 name_acc=0.981 tok/s=65,072
ep0 step2380/46784 loss=1.0396 lm=0.4178 name=0.6218 name_acc=0.804 tok/s=65,089
ep0 step2400/46784 loss=0.9619 lm=0.4947 name=0.4671 name_acc=0.831 tok/s=65,107
ep0 step2420/46784 loss=0.4781 lm=0.2373 name=0.2409 name_acc=0.928 tok/s=65,123
ep0 step2440/46784 loss=0.1757 lm=0.1745 name=0.0012 name_acc=1.000 tok/s=65,141
ep0 step2460/46784 loss=0.3177 lm=0.1765 name=0.1412 name_acc=0.983 tok/s=65,152
ep0 step2480/46784 loss=0.3797 lm=0.1665 name=0.2133 name_acc=0.951 tok/s=65,167
ep0 step2500/46784 loss=0.3686 lm=0.2282 name=0.1404 name_acc=0.974 tok/s=65,182
ep0 step2520/46784 loss=0.3323 lm=0.2363 name=0.0961 name_acc=0.967 tok/s=65,185
ep0 step2540/46784 loss=0.3132 lm=0.2660 name=0.0472 name_acc=0.987 tok/s=65,212
ep0 step2560/46784 loss=0.6272 lm=0.2299 name=0.3973 name_acc=0.870 tok/s=65,220
ep0 step2580/46784 loss=0.4762 lm=0.1850 name=0.2912 name_acc=0.895 tok/s=65,229
ep0 step2600/46784 loss=0.2743 lm=0.1690 name=0.1053 name_acc=0.951 tok/s=65,242
ep0 step2620/46784 loss=0.3929 lm=0.1936 name=0.1993 name_acc=0.943 tok/s=65,258
ep0 step2640/46784 loss=0.5590 lm=0.3582 name=0.2007 name_acc=0.917 tok/s=65,276
ep0 step2660/46784 loss=0.5495 lm=0.3032 name=0.2463 name_acc=0.909 tok/s=65,288
ep0 step2680/46784 loss=0.5108 lm=0.2576 name=0.2532 name_acc=0.925 tok/s=65,303
ep0 step2700/46784 loss=0.7168 lm=0.2604 name=0.4564 name_acc=0.844 tok/s=65,315
ep0 step2720/46784 loss=0.1983 lm=0.1455 name=0.0528 name_acc=1.000 tok/s=65,326
ep0 step2740/46784 loss=0.1667 lm=0.1142 name=0.0525 name_acc=0.987 tok/s=65,338
ep0 step2760/46784 loss=0.5800 lm=0.2412 name=0.3388 name_acc=0.891 tok/s=65,348
ep0 step2780/46784 loss=0.9905 lm=0.7205 name=0.2700 name_acc=0.882 tok/s=65,348
ep0 step2800/46784 loss=0.2332 lm=0.1463 name=0.0869 name_acc=0.950 tok/s=65,342
ep0 step2820/46784 loss=0.2966 lm=0.1549 name=0.1417 name_acc=0.963 tok/s=65,341
ep0 step2840/46784 loss=0.3413 lm=0.1778 name=0.1635 name_acc=0.957 tok/s=65,347
ep0 step2860/46784 loss=0.7366 lm=0.3590 name=0.3776 name_acc=0.906 tok/s=65,352
