=== Tue Aug 18 14:01:04 UTC 2026 v5 main ===
params: 48.12M  device: cuda
dev split: 5000 rows held out, 640323 train
ep0 step4020/64704 loss=1.3303 lm=0.5089 name=0.8214 name_acc=0.746 tok/s=66,097
ep0 step4040/64704 loss=2.0075 lm=0.8041 name=1.2034 name_acc=0.610 tok/s=66,105
ep0 step4060/64704 loss=0.6083 lm=0.3693 name=0.2390 name_acc=0.908 tok/s=66,112
ep0 step4080/64704 loss=1.8542 lm=0.5307 name=1.3235 name_acc=0.571 tok/s=66,119
ep0 step4100/64704 loss=1.2719 lm=0.7252 name=0.5467 name_acc=0.792 tok/s=66,126
ep0 step4120/64704 loss=1.4924 lm=0.4697 name=1.0227 name_acc=0.690 tok/s=66,132
ep0 step4140/64704 loss=2.0601 lm=0.8736 name=1.1864 name_acc=0.580 tok/s=66,139
ep0 step4160/64704 loss=1.6470 lm=0.5449 name=1.1021 name_acc=0.571 tok/s=66,148
ep0 step4180/64704 loss=1.9395 lm=0.7840 name=1.1555 name_acc=0.603 tok/s=66,154
ep0 step4200/64704 loss=1.5585 lm=0.7558 name=0.8027 name_acc=0.697 tok/s=66,163
ep0 step4220/64704 loss=0.8473 lm=0.4465 name=0.4008 name_acc=0.883 tok/s=66,172
ep0 step4240/64704 loss=0.9848 lm=0.4886 name=0.4962 name_acc=0.808 tok/s=66,179
ep0 step4260/64704 loss=2.0715 lm=1.0682 name=1.0033 name_acc=0.698 tok/s=66,187
ep0 step4280/64704 loss=2.3835 lm=1.0373 name=1.3463 name_acc=0.660 tok/s=66,194
ep0 step4300/64704 loss=1.4297 lm=0.5797 name=0.8500 name_acc=0.704 tok/s=66,201
ep0 step4320/64704 loss=0.5418 lm=0.3043 name=0.2375 name_acc=0.932 tok/s=66,207
ep0 step4340/64704 loss=0.7421 lm=0.3579 name=0.3842 name_acc=0.882 tok/s=66,214
ep0 step4360/64704 loss=0.8727 lm=0.5436 name=0.3291 name_acc=0.941 tok/s=66,216
ep0 step4380/64704 loss=0.9405 lm=0.4243 name=0.5161 name_acc=0.808 tok/s=66,221
ep0 step4400/64704 loss=1.0268 lm=0.4750 name=0.5518 name_acc=0.811 tok/s=66,221
ep0 step4420/64704 loss=0.4821 lm=0.2773 name=0.2048 name_acc=0.953 tok/s=66,224
ep0 step4440/64704 loss=1.3095 lm=0.5626 name=0.7469 name_acc=0.695 tok/s=66,226
ep0 step4460/64704 loss=1.1816 lm=0.4568 name=0.7247 name_acc=0.689 tok/s=66,230
ep0 step4480/64704 loss=0.5036 lm=0.3022 name=0.2015 name_acc=0.939 tok/s=66,232
ep0 step4500/64704 loss=2.1690 lm=0.7626 name=1.4064 name_acc=0.582 tok/s=66,238
ep0 step4520/64704 loss=1.1623 lm=0.7117 name=0.4506 name_acc=0.822 tok/s=66,235
ep0 step4540/64704 loss=1.6994 lm=0.8904 name=0.8090 name_acc=0.684 tok/s=66,239
